-- 1st mean values --
Format: XTAB(V:1;HEAD:2;COL:TCFFFFFFFFFFFFFFFFFFFFFFFF)
StartTime: 2016/02/09 00:00:00
EndTime: 2016/02/10 00:00:00
Period: 24 h
Station: Gia Lam

Time	MeasPt	Wind Spd.	Wind Dir.	Temp	RH	Barometer	Radiation	InnerTemp	NO	NO2	NOx	SO2	CO	O3	PM-10	PM-2.5	PM-1	CH4	NMHC	THC	BENZEN	TOLUEN	ETHYL BENZEN	MP-XYLEN	O-XYLEN
		m/s	degree	°C	%	hPa	W/m²	°C	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	ppm	ppmC	ppmC	ug/m3	ug/m3	ug/m3	ug/m3	ug/m3
2016/02/09 00:05:00		0.97392	169.484	14.0948	0.358333	1020.03	1.02813	22.8595	1.6884	23.8846	25.573	13.156	473.333	127.251	2.62267	2.152	1.91								
2016/02/09 00:10:00		0.82272	158.948	14.0932	0.357812	1019.97	1.01354	22.8474	1.73753	22.3509	24.0885	13.156	458.333	135.47	2.61917	2.10933	1.89617								
2016/02/09 00:15:00		0.81565	162.382	14.0943	0.358854	1019.9	1.05	22.8351	1.22833	21.745	22.9733	13.156	433.333	133.67	2.61	2.08217	1.89067								
2016/02/09 00:20:00		0.85741	161.219	14.0927	0.352604	1019.87	1.08646	22.8096	1.40253	20.629	22.0315	13.156	427.292	142.759	2.63633	2.08617	1.88567								
2016/02/09 00:25:00		0.87712	156.775	14.0953	0.359896	1019.82	1.05729	22.783	1.00723	20.5263	21.5335	13.156	418.333	140.759	2.82617	2.09667	1.88433								
2016/02/09 00:30:00		0.99384	161.224	14.0917	0.357292	1019.8	1.06458	22.7564	1.37127	19.6294	21.0007	13.156	389.167	136.97	2.59833	2.15667	1.84833								
2016/02/09 00:35:00		0.80655	155.46	14.0911	0.357812	1019.72	1.05	22.7293	0.9179	19.335	20.2529	13.156	396.875	135.652	2.6	2.18276	1.9431								
2016/02/09 00:40:00		0.89061	157.319	14.0354	0.361458	1019.66	1.04271	22.71	1.0988	18.2361	19.3349	13.156	381.042	136.188	2.57586	2.08448	1.95345								
2016/02/09 00:45:00		1.06864	157.158	13.9859	0.3625	1019.58	1.04271	22.6901	1.0988	19.5198	20.6187	13.156	369.792	129.323	2.3235	2.02633	1.8935								
2016/02/09 00:50:00		1.1128	166.255	13.9859	0.360417	1019.48	1.02083	22.6611	0.871	18.8352	19.7062	13.156	364.167	134.384	0.0	0.0	0.0								
2016/02/09 00:55:00		1.63992	168.313	13.9432	0.358854	1019.42	1.02813	22.6423	1.4941	15.9835	17.4776	13.156	344.167	3.60024	0.85	0.67	0.63								
2016/02/09 01:00:00		1.75683	168.703	13.9172	0.3625	1019.44	1.04271	22.6184	1.27523	15.987	17.2622	13.156	325.208	0.0	2.49517	1.9905	1.84933								
2016/02/09 01:05:00		1.75109	165.159	13.9187	0.364062	1019.41	1.10104	22.5991	1.28193	15.7063	16.9882	13.156	340.0	10.5328	2.47417	2.044	1.87967								
2016/02/09 01:10:00		1.33281	168.555	13.9193	0.359896	1019.42	1.00625	22.5655	0.98937	15.9219	16.9113	13.156	333.75	270.264	2.5395	2.05783	1.8915								
2016/02/09 01:15:00		1.06209	165.026	13.9203	0.361458	1019.42	1.05729	22.5384	0.6566	15.5454	16.202	13.156	315.417	274.947	2.50183	2.04133	1.881								
2016/02/09 01:20:00		0.8186	159.428	13.9161	0.360417	1019.39	1.02813	22.5153	0.94247	15.5488	16.4912	13.156	317.083	274.34	2.4895	2.03867	1.8795								
2016/02/09 01:25:00		0.93402	160.085	13.8927	0.359896	1019.31	1.00625	22.4876	0.3015	16.7504	17.0519	13.156	310.0	273.072	2.51967	2.02533	1.87483								
2016/02/09 01:30:00		1.00445	152.819	13.8214	0.360417	1019.23	1.05	22.4608	0.58067	14.9805	15.5612	13.156	305.833	259.764	1.6305	1.32533	1.23633								
2016/02/09 01:35:00		1.18547	157.467	13.8276	0.361979	1019.22	1.08646	22.4356	0.58513	14.6382	15.2233	13.156	307.292	162.011	0.0	0.0	0.0								
2016/02/09 01:40:00		0.97186	149.69	13.9099	0.363021	1019.14	1.04271	22.4098	0.69233	14.6142	15.3065	13.156	275.833	157.511	0.0	0.0	0.0								
2016/02/09 01:45:00		0.81453	144.067	13.8568	0.361458	1019.08	1.07917	22.3886	1.5477	14.8299	16.3776	13.156	280.208	152.253	2.29667	1.54833	1.28167								
2016/02/09 01:50:00		0.78562	142.105	13.8219	0.35625	1019.04	0.97708	22.3609	0.76603	14.7306	15.4966	13.156	292.083	156.657	1.71167	1.375	1.24								
2016/02/09 01:55:00		0.91589	131.376	13.7552	0.364062	1018.97	1.04271	22.3306	0.5226	16.1547	16.6773	13.156	309.375	144.892	2.78167	2.05167	1.88								
2016/02/09 02:00:00		0.92776	132.685	13.6932	0.352083	1018.95	1.02813	22.2906	0.55163	18.6811	19.2328	13.156	357.5	111.722	2.96667	2.13167	1.94167								
2016/02/09 02:05:00		0.80904	133.662	13.6052	0.354167	1018.92	0.99167	22.2533	0.8911	19.222	20.1131	13.156	368.333	127.28	2.35	2.105	1.965								
2016/02/09 02:10:00		0.81306	125.104	13.4911	0.351042	1018.89	1.05	22.2159	0.69903	20.1018	20.8008	13.156	380.625	111.243	2.675	2.09	1.955								
